status	lemma	pos	source_frequency_rank	meaning_ja_candidate	meaning_ja_alternatives	level_candidate	distractor_group_candidate	example_en	example_ja	confidence	source_synsets	notes
approved	people	noun	8	人々	衆 / 人々 / 人民	toeic600	people-noun			31	08160276-n	"州または国の一般人の集まり; the body of citizens of a state or country; ""the Spanish people""; curated"
approved	even	adjective	40	均等な	平ら / 平坦 / 平滑	toeic600	quality-adjective			22	00891170-a	"度、程度または量において同等な; 同様に合ったまたは釣り合っている; equal in degree or extent or amount; or equally matched or balanced; ""even amounts of butter and sugar""; ""on even terms""; ""it was a fifty-fifty (or even) split""; ""had a fifty-fifty (or even) chance""; ""an even fight""; curated"
approved	music	noun	227	音楽	快い音 / 楽 / 笛竹	toeic600	daily-noun			31	07020895-n,05718556-n,00543233-n,05718935-n	構造化され、かつ連続的な楽器あるいは音声から成る聴覚コミュニケーションの芸術的形態; 快い（楽しく調和的な）音; an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner; curated
approved	national	adjective	241	全国的な	国内的 / 国家的 / 国民的	toeic600	business-adjective			31	02988060-a	"国または国家に属する、またはそれに関係するまたはそれの; of or relating to or belonging to a nation or country; ""national hero""; ""national anthem""; ""a national landmark""; curated"
approved	white	adjective	246	白い	真っ白い / 空白 / 蒼白	toeic600	quality-adjective			31	00393105-a,01905235-a,01698231-a,01250991-a,01130932-a,00272950-a	"最大限の明度の無彩色である; ほとんどすべての入射光線の反射のためにほとんど色を持たない; being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light; ""as white as fresh snow""; ""a bride's white dress""; curated"
approved	actually	adverb	252	実際に	事実 / 其実 / 実は	toeic600	manner-adverb			31	00149510-r	"実際に; in actual fact; ""to be nominally but not actually independent""; ""no one actually saw the shark""; ""large meteorites actually come from the asteroid belt""; curated"
approved	general	adjective	277	一般的な	全般的 / 普遍的 / 不特定	toeic600	business-adjective			31	01101391-a,00783840-a,00487198-a	"カテゴリやグループのすべてかほとんどの構成要素に適用するさま; 物に対して1つの分類に専門化されない、または制限されない; applying to all or most members of a category or group; ""the general public""; ""general assistance""; ""a general rule""; ""in general terms""; ""comprehensible to the general reader""; curated"
approved	black	adjective	284	黒い	黒い / か黒い / ダーク	toeic600	quality-adjective			31	00392812-a	"最高レベルの黒の無彩色であるさま; ほとんどすべての付随光を吸収するために少ししか、またはまったく色彩がない; being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light; ""black leather jackets""; ""as black as coal""; ""rich black soil""; curated"
approved	together	adverb	288	一緒に	共々 / 共に / 共共	toeic600	manner-adverb			31	00507927-r,00116510-r	"お互いの会社で; 同時に; in each other's company; ""we went to the movies together""; ""the family that prays together stays together""; curated"
approved	health	noun	307	健康	ヘルス / 健全さ / 健康さ	toeic600	daily-noun			31	14447908-n,13923779-n	"病気をしない幸せな健康な状態; 体と心の通常の状態; a healthy state of wellbeing free from disease; ""physicians should be held responsible for the health of their patients""; curated"
